,epoch,accuracy,precision,recall,f1,train_loss,vali_loss,loss
0,1,0.21044921875,0.02358425564236111,0.11145833333333335,0.03884858511152349,2.163100197057056,2.2501823902130127,2.163100197057056
1,2,0.490234375,0.19366008760472114,0.24973576946543638,0.19638420298333617,1.940903227040722,1.969873070716858,1.940903227040722
2,3,0.38515625,0.27824261393539584,0.22244967318737965,0.18609523427991834,1.8172296513417723,2.070002555847168,1.8172296513417723
3,4,0.57412109375,0.3020473740651409,0.33170675370261826,0.27826097385059334,1.7452362517642368,1.8833969831466675,1.7452362517642368
4,5,0.28134765625,0.25120962406050795,0.2117945789126911,0.14335511765374306,1.6914687847635548,2.170060873031616,1.6914687847635548
5,6,0.6259765625,0.340837129529969,0.3446366377817839,0.3074721899734817,1.6565795453490726,1.8314306735992432,1.6565795453490726
6,7,0.7013671875,0.41144361638765925,0.4402974267566505,0.40039198296417905,1.6440150707390657,1.7604131698608398,1.6440150707390657
7,8,0.6314453125,0.3245332530974183,0.35994200295363565,0.3121496187363437,1.6191067490608069,1.8277164697647095,1.6191067490608069
8,9,0.772265625,0.49878786826005683,0.5310608933721326,0.48385433023516305,1.587678622288309,1.6901034116744995,1.587678622288309
9,10,0.86318359375,0.5508076595132202,0.6089840061213225,0.5692582954836214,1.57346463962725,1.5993367433547974,1.57346463962725
10,11,0.8669921875,0.5528120655236777,0.6021689952069968,0.5698070960965074,1.5692414462946023,1.595567226409912,1.5692414462946023
11,12,0.6986328125,0.48372046079129294,0.5454932796335583,0.4708212293156235,1.5649739352001506,1.761394739151001,1.5649739352001506
12,13,0.88251953125,0.5651750190209975,0.6134033485200694,0.578341428074552,1.5603904587448023,1.579963207244873,1.5603904587448023
13,14,0.74384765625,0.526024627399501,0.5212711997195252,0.5032823672078673,1.5587503272257033,1.7184600830078125,1.5587503272257033
14,15,0.72685546875,0.5395417163762852,0.525496762580824,0.4920326463360218,1.5378222047902976,1.7313941717147827,1.5378222047902976
15,16,0.908984375,0.6593769657386604,0.7012161223719984,0.6737072517266046,1.5228423525573342,1.5538941621780396,1.5228423525573342
16,17,0.47421875,0.39919913553003183,0.31739606508897006,0.26572379598686857,1.5182875751689742,1.9823791980743408,1.5182875751689742
17,18,0.82958984375,0.6090430266249861,0.6010230550519836,0.566348968934061,1.5145907477968057,1.6319878101348877,1.5145907477968057
18,19,0.88154296875,0.6465756955720092,0.6659554569164217,0.6467417556494187,1.51184011720548,1.580775260925293,1.51184011720548
19,20,0.914453125,0.6720283513586894,0.7271021882825834,0.6921996954137838,1.5112450677118483,1.5470192432403564,1.5112450677118483
20,21,0.876171875,0.6358463426466006,0.677510281195914,0.6484927704161683,1.5090901593493808,1.5849324464797974,1.5090901593493808
21,22,0.821875,0.605193685467061,0.6119140579233866,0.5675627688209595,1.5095916568853294,1.6385529041290283,1.5095916568853294
22,23,0.90166015625,0.6555023443652732,0.7091460801122672,0.6715494806018618,1.5063101045644967,1.5594810247421265,1.5063101045644967
23,24,0.93349609375,0.6888758558284518,0.7337108930414199,0.7046175633336498,1.5057088637807567,1.5280805826187134,1.5057088637807567
24,25,0.590625,0.5950026631172587,0.38425337881259986,0.3830480614111932,1.5044577516567934,1.867835283279419,1.5044577516567934
25,26,0.9171875,0.6740377040422636,0.7316315488952263,0.69223849850735,1.5041559304401373,1.5446281433105469,1.5041559304401373
26,27,0.67763671875,0.452866086724461,0.4109703296275214,0.3827416597314236,1.502461810780179,1.783553123474121,1.502461810780179
27,28,0.9177734375,0.6849546205144073,0.7282285094271415,0.699525267199464,1.5026584544758887,1.545996069908142,1.5026584544758887
28,29,0.93564453125,0.6939334250954532,0.7440832767192126,0.7122090035597111,1.5014616767312312,1.5255725383758545,1.5014616767312312
29,30,0.92880859375,0.6796463848909691,0.7254645118362758,0.6976743356203694,1.499883321440144,1.531986117362976,1.499883321440144
30,31,0.9033203125,0.6770871528800091,0.7100916725782391,0.6857138413538764,1.4991555403751933,1.55814790725708,1.4991555403751933
31,32,0.90458984375,0.6597513086619233,0.7226873538469846,0.6835527855527329,1.49924521157696,1.55575692653656,1.49924521157696
32,33,0.8673828125,0.6062163847130762,0.628055943196826,0.5879743389406614,1.4991120312623918,1.593611240386963,1.4991120312623918
33,34,0.934765625,0.7204123572580071,0.7453696616501406,0.7240461967127225,1.4912800735728755,1.5271998643875122,1.4912800735728755
34,35,0.94775390625,0.7708269124114582,0.7951292713670233,0.7793168328217759,1.4843945700651522,1.5158566236495972,1.4843945700651522
35,36,0.95361328125,0.8013979072714281,0.834081738505074,0.8122619276604546,1.4805827285074125,1.5099446773529053,1.4805827285074125
36,37,0.9314453125,0.7773359159354434,0.7935804487018561,0.7751239562723622,1.48022711580726,1.5316523313522339,1.48022711580726
37,38,0.94755859375,0.7808487422866344,0.8206641701067282,0.7936802021092757,1.4786024389752916,1.5151923894882202,1.4786024389752916
38,39,0.85546875,0.6860010127096556,0.6743775101539842,0.6561976276577292,1.4772379815958108,1.604596495628357,1.4772379815958108
39,40,0.95703125,0.7980041796692012,0.8315310633264696,0.8094553425100883,1.4784149311150714,1.5058330297470093,1.4784149311150714
40,41,0.94326171875,0.787511274685052,0.7968418469416076,0.7824926543897305,1.4771047428155402,1.5190781354904175,1.4771047428155402
41,42,0.89453125,0.7505008132968377,0.7125349601571018,0.7039445217436571,1.4777736808084379,1.5660762786865234,1.4777736808084379
42,43,0.9455078125,0.7938351068468692,0.8377016161836732,0.8090425963865797,1.4777971445375186,1.5165319442749023,1.4777971445375186
