,epoch,accuracy,precision,recall,f1,train_loss,vali_loss,loss
0,1,0.26948180379746833,0.035753129073089175,0.11485748513008105,0.0499476575857861,2.142413426892826,2.1901419162750244,2.142413426892826
1,2,0.299248417721519,0.21647307667679708,0.18336858098958153,0.13004789250633833,1.8850023906451825,2.157224178314209,1.8850023906451825
2,3,0.6421083860759493,0.37267165417602677,0.39026855481709744,0.3471451506895117,1.7553676884776106,1.8177127838134766,1.7553676884776106
3,4,0.7064873417721519,0.4198342592913705,0.44181550014386334,0.4105449633525546,1.6869959046665473,1.754202961921692,1.6869959046665473
4,5,0.6817642405063291,0.3714863248726401,0.4250814989200098,0.377388623395992,1.668781688419013,1.7779767513275146,1.668781688419013
5,6,0.8037974683544303,0.4678296296139935,0.5334242308458754,0.4848796107035495,1.660805957385907,1.6569350957870483,1.660805957385907
6,7,0.569620253164557,0.40318319317028184,0.30978145785551187,0.2958057080651779,1.6486365414275148,1.8908756971359253,1.6486365414275148
7,8,0.6935324367088608,0.4653347193488811,0.47538078085078006,0.4299093627438002,1.6163399349005458,1.7673410177230835,1.6163399349005458
8,9,0.8182357594936709,0.5706912474720409,0.5719475536644125,0.5549064523618832,1.5920770274945342,1.6434929370880127,1.5920770274945342
9,10,0.8001384493670886,0.5386906852915027,0.5599965249372637,0.5277595598918671,1.5838194956032994,1.6610701084136963,1.5838194956032994
10,11,0.7566257911392406,0.5243790049910324,0.5418369859547006,0.5101384299500581,1.5835235869160855,1.7035279273986816,1.5835235869160855
11,12,0.803995253164557,0.5656363273158828,0.5723654509600415,0.5480663172801055,1.581435432068456,1.6571937799453735,1.581435432068456
12,13,0.8399920886075949,0.565026613472236,0.598349686962669,0.5752483391450496,1.576021265298033,1.6215511560440063,1.576021265298033
13,14,0.8224881329113924,0.5511192325842806,0.6031492514683813,0.5503112616849647,1.5715969408662935,1.6377370357513428,1.5715969408662935
14,15,0.8739121835443038,0.5885441511514232,0.6503725681691095,0.6086781291738104,1.5688680303744234,1.5869873762130737,1.5688680303744234
15,16,0.8883504746835443,0.6789981115203074,0.7349648358763763,0.6933798688027287,1.5639145877033758,1.5766711235046387,1.5639145877033758
16,17,0.919501582278481,0.7013202663020209,0.7487646380387415,0.7142730704443091,1.5341743192733668,1.542441964149475,1.5341743192733668
17,18,0.8054786392405063,0.6198261698502383,0.6090881330914657,0.5787863839400933,1.5313691510179173,1.6551434993743896,1.5313691510179173
18,19,0.9106012658227848,0.6890754778594231,0.7536495057556813,0.708009950309729,1.5308501754705899,1.5501495599746704,1.5308501754705899
19,20,0.8665941455696202,0.6712382878793636,0.7054929676784654,0.6679987874559605,1.5310537312358332,1.5954393148422241,1.5310537312358332
20,21,0.9238528481012658,0.7177715703666189,0.7552721967795248,0.7290026888885353,1.5247280102568312,1.5372411012649536,1.5247280102568312
21,22,0.9167325949367089,0.6968443488327517,0.7494219986568188,0.7135295898539359,1.5248482059746886,1.5441639423370361,1.5248482059746886
22,23,0.9127768987341772,0.6961325881302757,0.7610139426269342,0.7157999591625467,1.5243313354425156,1.548471450805664,1.5243313354425156
23,24,0.9212816455696202,0.709897194489546,0.7644492299601503,0.7264136590553648,1.5240223053545237,1.539744257926941,1.5240223053545237
24,25,0.9251384493670886,0.6985952989116938,0.7547704543952247,0.7166787494215834,1.518737692802478,1.5358667373657227,1.518737692802478
25,26,0.8934928797468354,0.6873091452951517,0.7152100000281698,0.6913517537223725,1.5198331957046216,1.567595362663269,1.5198331957046216
26,27,0.8854825949367089,0.6855093578505407,0.7555658080812918,0.7071547146537861,1.519382391113062,1.5758285522460938,1.519382391113062
27,28,0.9267207278481012,0.7188704470043961,0.7592820203691728,0.7296013921574842,1.5176024097984973,1.5348470211029053,1.5176024097984973
28,29,0.9206882911392406,0.7109446088579036,0.7543800114615102,0.7222575075925839,1.5187142222834091,1.5405669212341309,1.5187142222834091
29,30,0.921875,0.7121150246881345,0.762054430401646,0.7244239658081377,1.517860472011871,1.539067029953003,1.517860472011871
30,31,0.9236550632911392,0.7068657111352052,0.7519023607585101,0.7211455379002061,1.5146200641656455,1.5377641916275024,1.5146200641656455
31,32,0.9042721518987342,0.7061368084606938,0.722280836441146,0.7038181564133761,1.5158020132265912,1.5564682483673096,1.5158020132265912
32,33,0.9360166139240507,0.7202510494986207,0.7621235556923642,0.7334724551431583,1.5167104809428937,1.5250481367111206,1.5167104809428937
33,34,0.9331487341772152,0.7237033246865582,0.7730125548309121,0.7385718717947254,1.5137320018043152,1.5280506610870361,1.5137320018043152
34,35,0.9341376582278481,0.7170087360198819,0.7684422357819212,0.733971482124884,1.5132579129343977,1.5268559455871582,1.5132579129343977
35,36,0.935126582278481,0.727672196286515,0.7731054484625536,0.7418874837835804,1.5141799758417538,1.5260329246520996,1.5141799758417538
36,37,0.9379944620253164,0.7182768663038579,0.7733926576883675,0.7354667888041031,1.513472015103593,1.5233383178710938,1.513472015103593
37,38,0.9167325949367089,0.6990514316953378,0.7307406363887275,0.7090093218328322,1.5136880356663713,1.5441619157791138,1.5136880356663713
38,39,0.9376977848101266,0.7279508445752005,0.7791337169904303,0.7436389199907064,1.509983848839903,1.523351788520813,1.509983848839903
39,40,0.9375988924050633,0.7340796364928572,0.7758617998885188,0.7468298480875156,1.5091392049393333,1.5235025882720947,1.5091392049393333
40,41,0.9401700949367089,0.7237550172617785,0.7705960020908598,0.7397496656442636,1.5085917562722397,1.5213407278060913,1.5085917562722397
41,42,0.8905261075949367,0.6784215503199365,0.7433436236101564,0.7003799777586491,1.5099500208236158,1.569956660270691,1.5099500208236158
