,epoch,accuracy,precision,recall,f1,train_loss,vali_loss,loss
0,1,0.2657238924050633,0.05619889986649222,0.11659023158873666,0.06653288586558934,2.184850543451766,2.178311824798584,2.184850543451766
1,2,0.5819818037974683,0.3094475155683429,0.3151212775174673,0.2765639079102949,1.9748885418279483,1.8762611150741577,1.9748885418279483
2,3,0.6981803797468354,0.36394501677735547,0.42145627745011893,0.3789774682164102,1.7658280827366888,1.7603644132614136,1.7658280827366888
3,4,0.6990704113924051,0.4284466199492749,0.4811036078393445,0.4290490401837067,1.6890258293944045,1.7619603872299194,1.6890258293944045
4,5,0.5772349683544303,0.38722295026017256,0.3810921898464313,0.34555983805696766,1.6663142682645267,1.8780033588409424,1.6663142682645267
5,6,0.8136867088607594,0.5439768316438133,0.5939658203175862,0.5491702029959017,1.6411889764828422,1.6499134302139282,1.6411889764828422
6,7,0.8526503164556962,0.5662410959811658,0.6315374795265923,0.5870129003203484,1.601710097477459,1.608231544494629,1.601710097477459
7,8,0.8385087025316456,0.5499378565962992,0.583202247738894,0.553710365473799,1.5919134803473378,1.6220412254333496,1.5919134803473378
8,9,0.8488924050632911,0.6393758375597676,0.6700322819247577,0.6392666125732498,1.5873137232594596,1.6231944561004639,1.5873137232594596
9,10,0.9017998417721519,0.7072994672051546,0.73071169917674,0.7103698889626655,1.5492891210336655,1.5602167844772339,1.5492891210336655
10,11,0.8762856012658228,0.6870720289339596,0.690458912338691,0.6776136812060592,1.5453578393680218,1.5858831405639648,1.5453578393680218
11,12,0.8631329113924051,0.6597489641759995,0.7207078190038679,0.6754561037864288,1.5403682591435246,1.597326397895813,1.5403682591435246
12,13,0.8309928797468354,0.6393645221868106,0.716646976614065,0.6534681043289535,1.5383303824324197,1.6311153173446655,1.5383303824324197
13,14,0.8828125,0.6843152360890066,0.7186467285136918,0.6924669688288816,1.536828014797296,1.5788757801055908,1.536828014797296
14,15,0.9003164556962026,0.7047736713765974,0.7310714262830478,0.7070926101350892,1.5367223150052203,1.5607619285583496,1.5367223150052203
15,16,0.9076344936708861,0.7057655655968423,0.7373995527953672,0.7119770365095157,1.5331801012301216,1.5531996488571167,1.5331801012301216
16,17,0.9190071202531646,0.7078039836822358,0.7528944725113909,0.7221234734044366,1.5324091332408185,1.5421148538589478,1.5324091332408185
17,18,0.9087223101265823,0.6912405376407963,0.74382881409765,0.7066111340692243,1.5309849748977076,1.5516458749771118,1.5309849748977076
18,19,0.9277096518987342,0.7086766269175049,0.7638173709901015,0.7260680796036143,1.52817551053751,1.5333694219589233,1.52817551053751
19,20,0.8951740506329114,0.6834782994776923,0.7464172365334856,0.7007012431202364,1.5279993500572424,1.5650988817214966,1.5279993500572424
20,21,0.9112935126582279,0.7039020846646369,0.7356473075790159,0.7114961561922926,1.5290296938472663,1.5500919818878174,1.5290296938472663
21,22,0.9099090189873418,0.6967184648878542,0.7396843156985116,0.7089962973535694,1.5268932858975932,1.5506199598312378,1.5268932858975932
22,23,0.9278085443037974,0.7180606558946772,0.7591998245709298,0.7291774647040771,1.5246041308576688,1.5333245992660522,1.5246041308576688
23,24,0.9285007911392406,0.7163174377457477,0.7613319294911063,0.7297762776163291,1.5243326452212593,1.532463788986206,1.5243326452212593
24,25,0.9243473101265823,0.710379976513981,0.7607388392593616,0.7251479339831117,1.521543982310798,1.536711573600769,1.521543982310798
25,26,0.9192049050632911,0.6978514528279194,0.7510817338743467,0.7154159214966439,1.5252458626469865,1.5423651933670044,1.5252458626469865
26,27,0.9245450949367089,0.7166542644498066,0.7616753396098627,0.7290686672167825,1.5251105437263512,1.5366215705871582,1.5251105437263512
27,28,0.9182159810126582,0.7106688327567381,0.7602705890567105,0.7215861087390999,1.5207107981172994,1.5428882837295532,1.5207107981172994
28,29,0.9246439873417721,0.7156672814775543,0.77218339868835,0.7334677277513822,1.523580544672835,1.5364500284194946,1.523580544672835
29,30,0.9277096518987342,0.7048321274340766,0.7496229608275782,0.7190310786589712,1.5190340112954284,1.5335336923599243,1.5190340112954284
30,31,0.9153481012658228,0.7049737625720673,0.7428610590073946,0.7133610335122919,1.5177350844057222,1.545473575592041,1.5177350844057222
31,32,0.9082278481012658,0.6964907821501782,0.7425393593555766,0.705827317202058,1.5175916577299562,1.5527178049087524,1.5175916577299562
32,33,0.9316653481012658,0.7162567989260024,0.7603448208797476,0.7290023238109946,1.5157977209304467,1.5298584699630737,1.5157977209304467
33,34,0.9338409810126582,0.7201388253173245,0.7717643392636043,0.7364958051463568,1.5168917262896944,1.5271997451782227,1.5168917262896944
